"y"	"x1"	"x2"
37	2	0.693147180559945
62	4	1.38629436111989
32	5	1.6094379124341
77	6	1.79175946922805
136	8	2.07944154167984
147	9	2.19722457733622
199	11	2.39789527279837
180	13	2.56494935746154
284	14	2.63905732961526
315	15	2.70805020110221
355	16	2.77258872223978
344	18	2.89037175789616
376	19	2.94443897916644
424	20	2.99573227355399
523	21	3.04452243772342
532	22	3.09104245335832
598	24	3.17805383034795
688	25	3.2188758248682
750	26	3.25809653802148
929	29	3.36729582998647
