"colGPA"	"hsGPA"	"ACT"	"skipped"
3	3	21	2
3.40000009536743	3.20000004768372	24	0
3	3.59999990463257	26	0
3.5	3.5	27	0
3.59999990463257	3.90000009536743	28	0
3	3.40000009536743	25	0
2.70000004768372	3.5	25	0
2.70000004768372	3	22	3
2.70000004768372	3	21	2
3.79999995231628	4	27	0.5
2.79999995231628	3	19	2
2.90000009536743	3.09999990463257	22	1
3	3.5	23	0
2.90000009536743	3.79999995231628	29	3
3.29999995231628	3.70000004768372	25	1
2.59999990463257	3	21	3
2.5	3.5	29	4
2.5	3	23	5
2.40000009536743	3	21	2
3.59999990463257	3.5	29	1
2.59999990463257	3.5	25	3
2.70000004768372	3	23	1
2.90000009536743	3.59999990463257	27	1
3	4	25	0
3.09999990463257	3.29999995231628	24	1
3	3.59999990463257	27	2
3.20000004768372	3.09999990463257	20	1
3	3.40000009536743	21	0
3.40000009536743	3.70000004768372	24	0.5
2.90000009536743	3.70000004768372	20	1
3.5	3.29999995231628	23	1
3.70000004768372	3.29999995231628	22	0
3.5	3.5	24	0
2.79999995231628	3.20000004768372	28	1
2.5	3.29999995231628	25	1
3.09999990463257	3.40000009536743	23	0.5
3.5	3.5	24	1
3.40000009536743	3.40000009536743	26	0.5
3.5	3.70000004768372	23	0
2.79999995231628	3.70000004768372	23	0
2.59999990463257	3	23	2
3.5	3	19	1
4	4	26	0
3.79999995231628	3.79999995231628	26	1
2.79999995231628	3	21	4
3.5	3.70000004768372	24	1
3	3.40000009536743	24	2
3	3.79999995231628	21	1
3.70000004768372	4	25	1
3	3.5	21	0
2.90000009536743	3.40000009536743	27	1
2.59999990463257	3.59999990463257	19	1
3	3.20000004768372	27	2
3.29999995231628	3.79999995231628	28	0.5
2.70000004768372	3.29999995231628	24	2
3	3.40000009536743	27	0
3.20000004768372	3	24	0
2.70000004768372	3.59999990463257	27	1
3.59999990463257	3.90000009536743	26	1
2.40000009536743	3	19	2
2.90000009536743	3	24	1
3.29999995231628	3.29999995231628	26	1
3.5	3.29999995231628	28	0.5
3	3.20000004768372	22	2
3	3.40000009536743	27	0
2.79999995231628	3.70000004768372	26	0
2.90000009536743	3.40000009536743	26	0
3.79999995231628	3.90000009536743	30	2
2.5	3.59999990463257	24	2
3	4	26	1
3.20000004768372	3.59999990463257	21	1
2.20000004768372	3	24	0
3.40000009536743	2.79999995231628	24	0
2.90000009536743	3.20000004768372	23	0
3.70000004768372	2.90000009536743	26	1
2.90000009536743	2.90000009536743	24	1
2.79999995231628	3.59999990463257	24	0.5
3.20000004768372	3.40000009536743	27	1
3.40000009536743	3.59999990463257	23	0.5
3	3.20000004768372	31	2
2.5	3.20000004768372	24	2
3.5	3.20000004768372	16	1
3.09999990463257	3.70000004768372	27	1
2.79999995231628	2.90000009536743	22	0
2.90000009536743	3.29999995231628	23	1
2.90000009536743	3.09999990463257	24	2
3.40000009536743	3.5	24	0
3.40000009536743	3.5	23	0
3.59999990463257	3.70000004768372	23	3
3.20000004768372	3	23	0.25
3.20000004768372	3.79999995231628	25	1
2.79999995231628	3.29999995231628	21	0
3.09999990463257	3.59999990463257	22	0
2.79999995231628	3.20000004768372	24	1
3.40000009536743	3.59999990463257	27	3
2.70000004768372	3.5	29	0
3	3.70000004768372	24	0
2.5	2.70000004768372	25	0.5
2.5	3.09999990463257	23	1
2.70000004768372	3.40000009536743	22	1
3.59999990463257	3.29999995231628	24	0
2.90000009536743	3.40000009536743	23	1
2.79999995231628	3.5	26	1
3.90000009536743	3.90000009536743	26	0
2.79999995231628	3.5	22	2
3.90000009536743	4	26	0
3.20000004768372	2.90000009536743	28	1
3.29999995231628	3.29999995231628	24	2
3.29999995231628	3.5	24	2
3.20000004768372	3.5	23	0
3.09999990463257	3.09999990463257	16	0
3	3.09999990463257	21	1
3.40000009536743	3.70000004768372	30	5
3.09999990463257	3.29999995231628	23	2
3.20000004768372	3.70000004768372	23	2
3.29999995231628	3	23	0
3	3.79999995231628	22	1
2.79999995231628	3.5	22	1
2.79999995231628	3.59999990463257	25	3
2.70000004768372	3.5	27	4
2.59999990463257	3	19	1
2.90000009536743	3.79999995231628	23	1
3	3.5	26	2
3	3.59999990463257	22	0
2.90000009536743	3.79999995231628	24	2
3.29999995231628	3.59999990463257	26	0
2.70000004768372	3.29999995231628	23	1
3	3.20000004768372	21	1
2.90000009536743	3.29999995231628	22	2
3.79999995231628	3.59999990463257	26	0
2.90000009536743	3.79999995231628	30	0
3	3.29999995231628	22	0
3.20000004768372	3.20000004768372	19	0
3	3.29999995231628	23	0
2.29999995231628	3.59999990463257	25	1
2.79999995231628	3.40000009536743	21	0
3.40000009536743	3.70000004768372	26	3
2.79999995231628	3.29999995231628	28	3
