"age"	"sex"	"marst"	"healthins"	"educ"	"hrswork"	"incwage"	"inctotal"	"uscit"	"cow"	"typehealthins"
52	0	0	0	21	40	0	15000	0	3	0
37	0	1	0	11	55	0	40000	1	3	0
27	1	0	0	16	30	0	20000	1	3	0
36	0	1	0	16	50	0	55000	1	3	0
36	1	0	0	19	10	0	2000	1	3	0
43	0	0	0	15	40	0	50000	1	3	0
46	0	0	0	16	40	0	25000	1	3	0
49	0	1	0	14	40	0	50000	1	3	0
50	1	0	0	16	40	0	21000	1	3	0
52	0	0	0	16	25	0	7000	1	3	0
53	1	0	0	16	60	0	9600	1	3	0
56	0	0	0	16	20	0	18000	1	3	0
57	0	1	0	18	50	0	42000	1	3	0
58	0	1	0	16	50	0	12400	1	3	0
59	0	0	0	20	70	0	52000	1	3	0
60	0	1	0	16	50	0	18000	1	3	0
60	0	1	0	16	50	0	100000	1	3	0
63	1	0	0	16	31	0	25000	1	3	0
63	1	0	0	19	35	0	16000	1	3	0
64	0	1	0	19	25	0	17500	1	3	0
39	0	0	0	16	40	0	17000	1	3	0
31	1	0	1	19	40	0	37000	1	3	2
31	1	1	1	20	25	0	5800	1	3	2
36	0	0	1	20	40	0	12000	1	3	2
37	0	1	1	19	99	0	20000	1	3	2
47	1	1	1	18	30	0	2000	1	3	2
51	1	1	1	13	50	0	4500	1	3	2
53	1	1	1	19	10	0	7200	1	3	2
54	0	1	1	16	35	0	38000	1	3	2
56	0	0	1	16	12	0	1000	1	3	2
56	1	1	1	18	24	0	2500	1	3	2
58	0	0	1	23	40	0	71000	1	3	2
61	0	0	1	16	25	0	34000	1	3	2
61	0	0	1	22	30	0	36000	1	3	2
63	1	0	1	18	24	0	9700	1	3	2
64	1	0	1	19	32	0	61000	1	3	2
66	1	1	1	16	40	0	12000	1	3	2
67	0	1	1	22	25	0	77100	1	3	2
70	1	0	1	16	39	0	15000	1	3	2
45	0	1	1	20	80	0	45000	1	3	2
55	0	1	1	12	10	0	2400	1	3	2
52	1	0	1	16	15	0	500	1	3	2
26	1	0	1	16	40	0	15000	1	3	1
