age	sex	marst	healthins	educ	hrswork	incwage	inctotal	uscit	cow	typehealthins
27	0	1	0	12	40	0	12000	0	3	0
29	0	1	0	12	30	0	2000	0	3	0
35	0	1	0	9	40	0	15000	0	3	0
40	1	0	0	12	30	0	26000	0	3	0
40	0	0	0	20	80	0	14200	0	3	0
40	1	1	0	21	15	0	9000	0	3	0
40	0	1	0	21	48	0	32000	0	3	0
44	0	0	0	16	40	0	20000	0	3	0
50	1	1	0	16	60	0	16000	0	3	0
51	0	0	0	9	40	0	15000	0	3	0
52	0	0	0	21	40	0	15000	0	3	0
57	0	1	0	9	40	0	2000	0	3	0
64	0	1	0	9	32	0	48100	0	3	0
26	0	1	0	14	40	0	10000	1	3	0
37	0	1	0	11	55	0	40000	1	3	0
45	0	1	0	10	40	0	21000	1	3	0
45	0	0	0	14	40	0	15000	1	3	0
51	0	0	0	16	75	0	50000	1	3	0
52	1	0	0	16	10	0	500	1	3	0
18	0	0	0	13	30	0	12900	1	3	0
18	1	0	0	19	40	0	21600	1	3	0
19	0	0	0	16	40	0	20000	1	3	0
22	0	0	0	9	35	0	13800	1	3	0
23	0	1	0	17	28	0	7000	1	3	0
25	0	0	0	12	50	0	1	1	3	0
25	0	0	0	17	25	0	8000	1	3	0
26	0	0	0	12	30	0	8500	1	3	0
26	1	0	0	19	30	0	16500	1	3	0
26	1	1	0	21	65	0	70000	1	3	0
27	1	1	0	16	3	0	1000	1	3	0
27	1	0	0	16	30	0	20000	1	3	0
27	1	1	0	19	38	0	9000	1	3	0
27	0	0	0	19	40	0	30000	1	3	0
29	0	0	0	19	70	0	100000	1	3	0
29	1	0	0	20	30	0	18500	1	3	0
30	0	0	0	14	60	0	40000	1	3	0
30	1	1	0	18	60	0	10000	1	3	0
32	0	1	0	16	9	0	30000	1	3	0
32	1	0	0	18	50	0	20	1	3	0
32	1	0	0	20	25	0	10000	1	3	0
33	0	1	0	11	60	0	305000	1	3	0
33	1	0	0	24	50	0	39000	1	3	0
34	0	1	0	16	40	0	10000	1	3	0
34	0	0	0	16	30	0	16800	1	3	0
35	1	0	0	19	35	0	14600	1	3	0
36	0	1	0	11	50	0	30000	1	3	0
36	0	1	0	16	50	0	55000	1	3	0
36	1	0	0	19	10	0	2000	1	3	0
36	0	1	0	21	50	0	23400	1	3	0
37	0	1	0	11	47	0	50000	1	3	0
37	0	0	0	21	40	0	5000	1	3	0
38	0	0	0	12	70	0	305000	1	3	0
38	1	1	0	19	15	0	5200	1	3	0
38	0	0	0	20	40	0	14280	1	3	0
39	0	0	0	19	40	0	25000	1	3	0
40	0	1	0	11	40	0	40000	1	3	0
40	0	1	0	18	40	0	20000	1	3	0
40	0	1	0	19	40	0	26000	1	3	0
41	1	0	0	13	40	0	13500	1	3	0
41	0	0	0	16	45	0	305000	1	3	0
41	0	0	0	17	50	0	30000	1	3	0
41	0	1	0	20	70	0	60000	1	3	0
42	1	0	0	16	40	0	2000	1	3	0
42	0	1	0	17	50	0	46000	1	3	0
42	0	0	0	17	42	0	40000	1	3	0
42	1	1	0	20	60	0	2400	1	3	0
43	0	0	0	15	40	0	50000	1	3	0
43	0	0	0	16	35	0	35000	1	3	0
44	1	1	0	20	20	0	16100	1	3	0
45	1	0	0	11	40	0	28000	1	3	0
45	0	0	0	16	45	0	20000	1	3	0
45	0	1	0	18	50	0	42000	1	3	0
46	0	0	0	12	40	0	8000	1	3	0
46	0	0	0	16	40	0	25000	1	3	0
46	0	1	0	17	50	0	14400	1	3	0
46	1	0	0	19	60	0	40000	1	3	0
47	1	0	0	14	30	0	3600	1	3	0
47	0	0	0	17	40	0	28000	1	3	0
47	0	1	0	18	80	0	45000	1	3	0
47	0	0	0	19	25	0	12500	1	3	0
49	0	1	0	14	40	0	50000	1	3	0
49	0	0	0	18	55	0	53000	1	3	0
49	0	1	0	19	50	0	50000	1	3	0
49	1	0	0	19	55	0	27200	1	3	0
50	1	0	0	16	40	0	21000	1	3	0
50	1	0	0	16	10	0	18000	1	3	0
50	0	0	0	18	45	0	25000	1	3	0
50	0	0	0	20	99	0	65000	1	3	0
51	0	1	0	11	40	0	35000	1	3	0
52	1	1	0	16	40	0	26000	1	3	0
52	0	0	0	16	40	0	5000	1	3	0
