"colGPA"	"hsGPA"	"ACT"	"skipped"
3	3	21	2
3.40000009536743	3.20000004768372	24	0
3.59999990463257	3.90000009536743	28	0
2.79999995231628	3	19	2
2.5	3	23	5
2.40000009536743	3	21	2
3	3.40000009536743	21	0
3.5	3.5	24	0
2.79999995231628	3	21	4
3.5	3.70000004768372	24	1
3	3.79999995231628	21	1
3.70000004768372	4	25	1
3	3.40000009536743	27	0
3.59999990463257	3.90000009536743	26	1
2.90000009536743	3	24	1
3.79999995231628	3.90000009536743	30	2
3.40000009536743	2.79999995231628	24	0
3	3.20000004768372	31	2
2.79999995231628	3.20000004768372	24	1
3.40000009536743	3.59999990463257	27	3
2.70000004768372	3.40000009536743	22	1
3.20000004768372	2.90000009536743	28	1
3	3.09999990463257	21	1
3.40000009536743	3.70000004768372	30	5
2.59999990463257	3	19	1
2.90000009536743	3.29999995231628	22	2
3.79999995231628	3.59999990463257	26	0
2.79999995231628	3.29999995231628	28	3
